Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.MatchScore,Latitude,Longitude
STEEDMAN,,STEEDMAN,TX,GRAYSON,,,Grayson,1880,1909,TRUE,4,160087,TRUE,29,TRUE,STEEDHAM,GRAYSON,TX,1377142,Populated Place,Steedham,Grayson,33.69733,-96.77944,211,0.75,33.69733,-96.77944
STEELBORO,,STEELBORO,TX,ANDERSON,,,Anderson,1891,1892,TRUE,7,160090,FALSE,1,FALSE,,,,,,,,,,,,,
STEELE'S CREEK,STEELES CREEK,STEELE'S CREEK,TX,BOSQUE,,,Bosque,1879,1879,TRUE,9,160096,TRUE,0,TRUE,STEELE'S CREEK,BOSQUE,TX,1341904,Populated Place,Steele's Creek,Bosque,32.01876,-97.60836,232,1,32.01876,-97.60836
STEELE'S GROVE,STEELES GROVE,STEELE'S GROVE,TX,TYLER,,,Tyler,1868,1878,TRUE,7,160097,TRUE,10,TRUE,STEELES GROVE,TYLER,TX,1369151,Cemetery,Steeles Grove Cemetery,Tyler,30.88048,-94.44717,104,1,30.88048,-94.44717
STEELE'S STORE,STEELES STORE,STEELE'S STORE,TX,BRAZOS,,,Brazos,1878,1950,TRUE,1,160098,TRUE,72,TRUE,STEELE'S STORE,BRAZOS,TX,1363425,Populated Place,Steele's Store,Brazos,30.68048,-96.55108,76,1,30.68048,-96.55108
STEEL'S CREEK,STEELS CREEK,STEEL'S CREEK,TX,LIMESTONE,,,Limestone,1857,1868,TRUE,7,160101,FALSE,11,FALSE,,,,,,,,,,,,,
STEEPCREEK,,STEEPCREEK,TX,SAN AUGUSTINE,,,San Augustine,1903,1931,TRUE,2,160102,FALSE,28,FALSE,,,,,,,,,,,,,
STEINER,,STEINER,TX,BOSQUE,,,Bosque,1917,1940,TRUE,2,160113,TRUE,23,TRUE,STEINER,BOSQUE,TX,1347876,Church,Steiner Church,Bosque,31.97515,-97.45446,184,,31.97515,-97.45446
STELLAR,,STELLAR,TX,FAYETTE,,,Fayette,1880,1909,TRUE,4,160125,TRUE,29,TRUE,STELLAR,FAYETTE,TX,1380604,Populated Place,Stellar,Fayette,29.8905,-97.14054,121,1,29.8905,-97.14054
STEMMONS,,STEMMONS,TX,DAWSON,,,Dawson,1904,1905,TRUE,6,160127,FALSE,1,FALSE,,,,,,,,,,,,,
STEPHEN CREEK,,STEPHEN CREEK,TX,SAN JACINTO,,,San Jacinto,1915,1954,TRUE,1,160135,TRUE,39,TRUE,STEPHEN CREEK,SAN JACINTO,TX,1380929,Populated Place,Stephen Creek,San Jacinto,30.69242,-95.18411,71,1,30.69242,-95.18411
STEPHENSBOROUGH,,STEPHENSBOROUGH,TX,RED RIVER,,,Red River,1871,1879,TRUE,7,160139,FALSE,8,FALSE,,,,,,,,,,,,,
STEPHENSVILLE,,STEPHENSVILLE,TX,ERATH,,,Erath,1857,1878,TRUE,2,160141,TRUE,21,TRUE,STEPHENVILLE,ERATH,TX,2731104,Post Office,Stephenville Post Office,Erath,32.22321,-98.20333,391,0.9230769,32.22321,-98.20333
STEPHENVILLE,,STEPHENVILLE,TX,ERATH,,,Erath,1878,,TRUE,0,160143,TRUE,,TRUE,STEPHENVILLE,ERATH,TX,2731104,Post Office,Stephenville Post Office,Erath,32.22321,-98.20333,391,1,32.22321,-98.20333
STERLEY,,STERLEY,TX,FLOYD,,,Floyd,1928,1960,TRUE,1,160148,TRUE,32,TRUE,STERLEY,FLOYD,TX,1380605,Populated Place,Sterley,Floyd,34.21118,-101.3977,994,1,34.21118,-101.3977
STERLING,,STERLING,TX,STERLING,,,Sterling,1891,1899,TRUE,1,160155,TRUE,8,TRUE,STERLING,STERLING,TX,1384001,Civil,Sterling County,Sterling,31.82788,-101.05,710,,31.82788,-101.05
